Voltage,Current,Concentration
-0.31428,7.79096,0
-0.30408,7.65097,0
-0.29387,7.65097,0
-0.28366,7.64396,0
-0.27346,7.57396,0
-0.26325,7.58797,0
-0.25304,7.66496,0
-0.24283,7.69996,0
-0.23263,7.72796,0
-0.22242,7.88196,0
-0.21221,8.01496,0
-0.202,8.10596,0
-0.19179,8.32296,0
-0.18159,8.56796,0
-0.17138,8.76396,0
-0.16117,9.05096,0
-0.15096,9.44996,0
-0.14076,9.82096,0
-0.13055,10.18495,0
-0.12034,10.76595,0
-0.11013,11.34695,0
-0.09993,11.91395,0
-0.08972,12.69794,0
-0.07951,13.59394,0
-0.0693,14.45494,0
-0.0591,15.39993,0
-0.04889,16.49192,0
-0.03868,17.43692,0
-0.02847,18.22092,0
-0.01827,19.25691,0
-0.00806,20.09691,0
0.00215,20.67091,0
0.01236,21.3149,0
0.02256,21.9379,0
0.03277,22.2949,0
0.04298,22.5329,0
0.05319,22.9739,0
0.06339,23.1489,0
0.0736,23.0369,0
0.08381,23.1979,0
0.09402,23.1349,0
0.10422,22.7429,0
0.11443,22.3579,0
0.12464,21.9589,0
0.13485,21.2589,0
0.14505,20.40491,0
0.15526,19.79241,0
0.16547,19.04692,0
0.17568,18.21392,0
0.18588,17.72392,0
0.19609,17.33192,0
0.2063,16.92593,0
0.21651,16.67743,0
0.22672,16.67043,0
0.23692,16.61793,0
0.24713,16.51292,0
0.25734,16.77543,0
0.26754,16.96792,0
0.27775,17.06592,0
0.28796,17.37392,0
0.29817,17.74142,0
0.30838,17.97942,0
0.31858,18.23842,0
0.32879,18.71442,0
0.339,19.05042,0
0.34921,19.23591,0
0.35941,19.71891,0
0.36962,20.08641,0
0.37983,20.25091,0
-0.31428,8.81996,5
-0.30408,8.66596,5
-0.29387,8.65196,5
-0.28366,8.60996,5
-0.27346,8.51196,5
-0.26325,8.52596,5
-0.25304,8.58196,5
-0.24283,8.58196,5
-0.23263,8.56796,5
-0.22242,8.73596,5
-0.21221,8.84796,5
-0.202,8.91796,5
-0.19179,9.12096,5
-0.18159,9.32396,5
-0.17138,9.48496,5
-0.16117,9.73696,5
-0.15096,10.07295,5
-0.14076,10.38795,5
-0.13055,10.66095,5
-0.12034,11.17195,5
-0.11013,11.66195,5
-0.09993,12.12395,5
-0.08972,12.83094,5
-0.07951,13.64994,5
-0.0693,14.46894,5
-0.0591,15.39293,5
-0.04889,16.54092,5
-0.03868,17.55592,5
-0.02847,18.42392,5
-0.01827,19.59991,5
-0.00806,20.56591,5
0.00215,21.2659,5
0.01236,22.0569,5
0.02256,22.8129,5
0.03277,23.2749,5
0.04298,23.5689,5
0.05319,24.10789,5
0.06339,24.36689,5
0.0736,24.31789,5
0.08381,24.56989,5
0.09402,24.59789,5
0.10422,24.30389,5
0.11443,24.05189,5
0.12464,23.77889,5
0.13485,23.1699,5
0.14505,22.3754,5
0.15526,21.8574,5
0.16547,21.1644,5
0.17568,20.37691,5
0.18588,19.94641,5
0.19609,19.61391,5
0.2063,19.26391,5
0.21651,19.09942,5
0.22672,19.21491,5
0.23692,19.28841,5
0.24713,19.31641,5
0.25734,19.76441,5
0.26754,20.12841,5
0.27775,20.38391,5
0.28796,20.88441,5
0.29817,21.4339,5
0.30838,21.8364,5
0.31858,22.2074,5
0.32879,22.8479,5
0.339,23.2994,5
0.34921,23.55839,5
0.35941,24.15689,5
0.36962,24.57689,5
0.37983,24.76239,5
-0.31428,9.92596,10
-0.30408,9.72996,10
-0.29387,9.71596,10
-0.28366,9.68796,10
-0.27346,9.58996,10
-0.26325,9.57596,10
-0.25304,9.65996,10
-0.24283,9.68796,10
-0.23263,9.67396,10
-0.22242,9.85595,10
-0.21221,9.98195,10
-0.202,10.05195,10
-0.19179,10.28995,10
-0.18159,10.52795,10
-0.17138,10.69595,10
-0.16117,10.96195,10
-0.15096,11.36795,10
-0.14076,11.70395,10
-0.13055,12.03995,10
-0.12034,12.62794,10
-0.11013,13.17394,10
-0.09993,13.69894,10
-0.08972,14.45494,10
-0.07951,15.31593,10
-0.0693,16.12793,10
-0.0591,17.03092,10
-0.04889,18.10892,10
-0.03868,19.03291,10
-0.02847,19.80291,10
-0.01827,20.85991,10
-0.00806,21.7559,10
0.00215,22.3789,10
0.01236,23.0929,10
0.02256,23.79289,10
0.03277,24.20589,10
0.04298,24.50689,10
0.05319,25.05989,10
0.06339,25.30489,10
0.0736,25.25589,10
0.08381,25.50789,10
0.09402,25.51489,10
0.10422,25.17189,10
0.11443,24.82889,10
0.12464,24.47189,10
0.13485,23.75789,10
0.14505,22.8339,10
0.15526,22.2179,10
